Trans. Date,Post Date,Description,Amount,Category
09/11/2023,09/11/2023,"ALDI 73070 NEW BRITIAN CT",55.10,"Supermarkets"
09/11/2023,09/11/2023,"DIRECTPAY FULL BALANCE",-494.66,"Payments and Credits"
09/11/2023,09/11/2023,"EXXONMOBIL FARMINGTON CT",5.53,"Gasoline"
09/11/2023,09/11/2023,"MACYS WESTFARMS FARMINGTON CT",12.06,"Department Stores"
09/11/2023,09/11/2023,"TARGET 00012898091 NEW BRITAIN CT",73.67,"Supermarkets"
09/09/2023,09/09/2023,"PAYPAL *LOWES.COM 402-935-2244 CA",70.70,"Home Improvement"
09/08/2023,09/08/2023,"LOWE'S OF PLAINVILLE, CT PLAINVILLE CT",5.08,"Home Improvement"
09/08/2023,09/10/2023,"LOWE'S OF PLAINVILLE, CT PLAINVILLE CT",-37.20,"Payments and Credits"
09/05/2023,09/05/2023,"PAYPAL *LOWES.COM 402-935-2244 CA",8.17,"Home Improvement"
09/04/2023,09/04/2023,"ALDI 73070 NEW BRITIAN CT",42.46,"Supermarkets"
09/04/2023,09/04/2023,"CITGO STORY BROS INC NEW BRITAIN CTL12141012",5.02,"Gasoline"
09/04/2023,09/04/2023,"LIDS 6705 WEST HARTFORDCT",31.89,"Merchandise"
09/04/2023,09/04/2023,"MACYS WESTFARMS FARMINGTON CT",101.85,"Department Stores"
09/04/2023,09/04/2023,"PAYPAL *TARGETCORPO 402-935-7733 CA",9.00,"Merchandise"
09/04/2023,09/04/2023,"PAYPAL *TARGETCORPO 402-935-7733 CA",20.20,"Merchandise"
09/04/2023,09/04/2023,"TARGET 00012898091 NEW BRITAIN CT",13.81,"Supermarkets"
09/03/2023,09/03/2023,"AMAZON WEB SERVICES AWS.AMAZON.COWA6ZG4YW5W44D",0.22,"Services"
09/02/2023,09/02/2023,"PAYPAL *TARGETCORPO 402-935-7733 CA",121.33,"Merchandise"
08/30/2023,08/30/2023,"PAYPAL *LOWES.COM 402-935-2244 CA",10.59,"Home Improvement"
08/30/2023,08/30/2023,"PAYPAL *NY TIMES NYTIME 402-935-7733 CA",4.00,"Services"
08/29/2023,08/29/2023,"LAUNDERAMA MOBILE BERLIN CT",20.00,"Services"
08/29/2023,08/29/2023,"PAYPAL *LOWES.COM 402-935-2244 CA",8.48,"Home Improvement"
08/28/2023,08/28/2023,"ALDI 73070 NEW BRITIAN CT",52.11,"Supermarkets"
08/28/2023,08/28/2023,"PAYPAL *GRUBHUBFOOD CHI 402-935-7733 CA",34.42,"Restaurants"
08/27/2023,08/27/2023,"ALDI 73070 NEW BRITIAN CT",24.10,"Supermarkets"
08/27/2023,08/27/2023,"LOWE'S OF PLAINVILLE, CT PLAINVILLE CT",91.55,"Home Improvement"
08/26/2023,08/26/2023,"EXXONMOBIL FARMINGTON CT",10.02,"Gasoline"
08/25/2023,08/25/2023,"EXXONMOBIL FARMINGTON CT",5.01,"Gasoline"
08/21/2023,08/21/2023,"ALDI 73070 NEW BRITIAN CT",50.11,"Supermarkets"
08/21/2023,08/21/2023,"TARGET 00012898091 NEW BRITAIN CT",6.37,"Supermarkets"
08/20/2023,08/20/2023,"CHANGE POINT LAUNDRY PYM HARTFORD CT",2.00,"Services"
08/20/2023,08/20/2023,"CHANGE POINT LAUNDRY PYM HARTFORD CT",2.00,"Services"
08/19/2023,08/19/2023,"ALDI 73070 NEW BRITIAN CT",7.74,"Supermarkets"
08/17/2023,08/17/2023,"ABC*BIG SKY 888-827-9262 CTABC*BIG SKY",15.90,"Travel/ Entertainment"
08/15/2023,08/17/2023,"ALDI 73070 NEW BRITIAN CT",39.42,"Supermarkets"
08/15/2023,08/17/2023,"CHANGE POINT LAUNDRY PYM HARTFORD CT",2.00,"Services"
08/15/2023,08/17/2023,"CHANGE POINT LAUNDRY PYM HARTFORD CT",2.00,"Services"
